,Country,Freedom to make life choices,GDP per Capita,GDP per capita,Generosity,Government Trust,Happiness Rank,Happiness Score,Life Expectancy,Social support,Year
56,Nicaragua,0.55475,0.59325,,0.27815,0.19317,57,5.827999999999999,0.7431399999999999,1.14184,2015
57,Peru,0.41496000000000005,0.9001899999999999,,0.14982,0.05989,58,5.824,0.73017,0.97459,2015
58,Belarus,0.37938,1.0319200000000002,,0.11045999999999999,0.1909,59,5.813,0.7360800000000001,1.23289,2015
59,Poland,0.53122,1.12555,,0.16759000000000002,0.04212,60,5.791,0.77903,1.27948,2015
60,Malaysia,0.5302399999999999,1.12486,,0.33075,0.10500999999999999,61,5.77,0.7239399999999999,1.07023,2015
61,Croatia,0.25883,1.08254,,0.054439999999999995,0.0243,62,5.7589999999999995,0.78805,0.79624,2015
62,Libya,0.41668,1.13145,,0.18295,0.11023,63,5.754,0.7038,1.1186200000000002,2015
63,Russia,0.36679,1.13764,,0.00199,0.03005,64,5.716,0.6692600000000001,1.23617,2015
64,Jamaica,0.50442,0.81038,,0.2123,0.02299,65,5.709,0.6874100000000001,1.1510200000000002,2015
65,North Cyprus,0.49027,1.2080600000000001,,0.26169000000000003,0.1428,66,5.695,0.92356,1.07008,2015
66,Cyprus,0.40671999999999997,1.20813,,0.30638000000000004,0.06146,67,5.689,0.92356,0.89318,2015
67,Algeria,0.28579,0.93929,,0.07822,0.17382999999999998,68,5.605,0.61766,1.07772,2015
68,Kosovo,0.24749000000000002,0.80148,,0.2831,0.04741,69,5.5889999999999995,0.63132,0.81198,2015
69,Turkmenistan,0.4761,0.95847,,0.16979,0.30844,70,5.547999999999999,0.53886,1.22668,2015
70,Mauritius,0.56066,1.0076100000000001,,0.37744,0.07521,71,5.477,0.7095,0.98521,2015
71,Hong Kong,0.59608,1.38604,,0.39478,0.37124,72,5.474,1.01328,1.05818,2015
72,Estonia,0.44888,1.15174,,0.0868,0.15184,73,5.428999999999999,0.77361,1.22791,2015
73,Indonesia,0.46611,0.8282700000000001,,0.51535,0.0,74,5.399,0.63793,1.0870799999999998,2015
74,Vietnam,0.59444,0.63216,,0.1686,0.10440999999999999,75,5.36,0.7467600000000001,0.9122600000000001,2015
75,Turkey,0.22815,1.06098,,0.12253,0.15746,76,5.332000000000001,0.73172,0.94632,2015
76,Kyrgyzstan,0.43477,0.47428000000000003,,0.3003,0.042319999999999997,77,5.2860000000000005,0.65088,1.15115,2015
77,Nigeria,0.34334000000000003,0.65435,,0.27233,0.0403,78,5.268,0.16007000000000002,0.9043200000000001,2015
78,Bhutan,0.5320600000000001,0.77042,,0.47998,0.15445,79,5.252999999999999,0.57407,1.10395,2015
79,Azerbaijan,0.3703,1.02389,,0.07799,0.16065,80,5.212000000000001,0.64045,0.9379299999999999,2015
80,Pakistan,0.12102,0.59543,,0.33671,0.10464000000000001,81,5.194,0.51466,0.41411000000000003,2015
81,Jordan,0.40660999999999997,0.9019799999999999,,0.11052999999999999,0.14293,82,5.192,0.69639,1.05392,2015
82,Montenegro,0.1826,0.9743799999999999,,0.1614,0.14296,82,5.192,0.72521,0.9055700000000001,2015
83,China,0.5169699999999999,0.89012,,0.08185,0.02781,84,5.14,0.81658,0.94675,2015
84,Zambia,0.48827,0.47038,,0.19591,0.12468,85,5.129,0.29924,0.91612,2015
85,Romania,0.35068,1.04345,,0.13748,0.006490000000000001,86,5.124,0.7689,0.8858799999999999,2015
86,Serbia,0.20107,0.92053,,0.19230999999999998,0.02617,87,5.122999999999999,0.74836,1.0096399999999999,2015
87,Portugal,0.51469,1.15991,,0.13719,0.01078,88,5.102,0.8751899999999999,1.13935,2015
88,Latvia,0.29671,1.11312,,0.18225999999999998,0.06332,89,5.098,0.72437,1.09562,2015
89,Philippines,0.62545,0.70532,,0.24991,0.12279000000000001,90,5.073,0.58114,1.03516,2015
90,Somaliland region,0.46581999999999996,0.18847,,0.5031800000000001,0.39928,91,5.0569999999999995,0.43873,0.95152,2015
91,Morocco,0.41691000000000006,0.7347899999999999,,0.07172,0.08546000000000001,92,5.013,0.60954,0.64095,2015
92,Macedonia,0.33457,0.91851,,0.22359,0.053270000000000005,93,5.007,0.73545,1.00232,2015
93,Mozambique,0.34037,0.08308,,0.22269,0.15603,94,4.971,0.09131,1.02626,2015
94,Albania,0.35733000000000004,0.8786700000000001,,0.14272,0.06412999999999999,95,4.959,0.81325,0.8043399999999999,2015
95,Bosnia and Herzegovina,0.09245,0.8322299999999999,,0.24808000000000002,0.00227,96,4.949,0.79081,0.9191600000000001,2015
96,Lesotho,0.31767,0.37545,,0.16388,0.12504,97,4.898,0.07612000000000001,1.04103,2015
97,Dominican Republic,0.57672,0.8953700000000001,,0.21684,0.14234000000000002,98,4.885,0.66825,1.17202,2015
98,Laos,0.59591,0.5906600000000001,,0.42191999999999996,0.24249,99,4.876,0.54909,0.73803,2015
99,Mongolia,0.43626000000000004,0.82819,,0.3323,0.026660000000000003,100,4.874,0.60268,1.3006,2015
100,Swaziland,0.30658,0.71206,,0.18259,0.0306,101,4.867,0.07566,1.07284,2015
101,Greece,0.07699,1.15406,,0.0,0.013969999999999998,102,4.857,0.88213,0.9293299999999999,2015
102,Lebanon,0.33916,1.0256399999999999,,0.21854,0.04582,103,4.8389999999999995,0.83947,0.80001,2015
103,Hungary,0.32111999999999996,1.12094,,0.128,0.02758,104,4.8,0.75905,1.20215,2015
104,Honduras,0.40148,0.59532,,0.23026999999999997,0.06825,105,4.788,0.6951,0.9534799999999999,2015
105,Tajikistan,0.47216,0.39047,,0.22974,0.15072,106,4.7860000000000005,0.5737899999999999,0.8556299999999999,2015
106,Tunisia,0.26268,0.88113,,0.06431,0.06358,107,4.739,0.73793,0.60429,2015
107,Palestinian Territories,0.24499,0.59867,,0.11250999999999999,0.12905,108,4.715,0.66015,0.92558,2015
108,Bangladesh,0.4082,0.39753,,0.21222,0.12569,109,4.694,0.60164,0.43106000000000005,2015
109,Iran,0.30033000000000004,1.0088,,0.38086,0.058629999999999995,110,4.686,0.69805,0.54447,2015
110,Ukraine,0.25123,0.79907,,0.15275,0.02961,111,4.681,0.6739,1.20278,2015
111,Iraq,0.0,0.98549,,0.17922000000000002,0.13788,112,4.677,0.60237,0.81889,2015
112,South Africa,0.33207,0.9204899999999999,,0.11972999999999999,0.08884,113,4.6419999999999995,0.27688,1.18468,2015
113,Ghana,0.42341999999999996,0.5455800000000001,,0.23087,0.04355,114,4.633,0.40131999999999995,0.6795399999999999,2015
114,Zimbabwe,0.25861,0.271,,0.18987,0.08079,115,4.61,0.33475,1.0327600000000001,2015
115,Liberia,0.28531,0.0712,,0.24361999999999998,0.06232000000000001,116,4.571000000000001,0.34201,0.78968,2015
116,India,0.39786,0.64499,,0.26475,0.08492000000000001,117,4.565,0.5152899999999999,0.38174,2015
117,Sudan,0.10081,0.52107,,0.19062,0.1466,118,4.55,0.36878,1.01404,2015
118,Haiti,0.24425,0.26673,,0.46187,0.17175,119,4.518,0.38847,0.74302,2015
119,Congo (Kinshasa),0.22605,0.0,,0.24834,0.07625,120,4.5169999999999995,0.09806000000000001,1.0012,2015
120,Nepal,0.38282,0.35996999999999996,,0.32295999999999997,0.059070000000000004,121,4.513999999999999,0.5687399999999999,0.86449,2015
121,Ethiopia,0.4345,0.19072999999999998,,0.24325,0.15048,122,4.512,0.44055,0.60406,2015
122,Sierra Leone,0.4084,0.33024000000000003,,0.21488000000000002,0.08786000000000001,123,4.507,0.0,0.9557100000000001,2015
123,Mauritania,0.24231999999999998,0.45407,,0.21899999999999997,0.17461,124,4.436,0.35874,0.86908,2015
124,Kenya,0.42215,0.36471,,0.37542,0.05839,125,4.419,0.41435,0.99876,2015
125,Djibouti,0.46074,0.44025,,0.18093,0.28105,126,4.369,0.36291,0.59207,2015
126,Armenia,0.19847,0.7682100000000001,,0.07855,0.039,127,4.35,0.7299,0.7771100000000001,2015
127,Botswana,0.49495,0.99355,,0.10461,0.12474,128,4.332,0.047760000000000004,1.10464,2015
128,Myanmar,0.44017,0.27108000000000004,,0.79588,0.19034,129,4.3069999999999995,0.48246000000000006,0.70905,2015
129,Georgia,0.40576999999999996,0.7419,,0.055470000000000005,0.38331,130,4.297,0.72926,0.38561999999999996,2015
130,Malawi,0.43054,0.016040000000000002,,0.33128,0.06977,131,4.292,0.22562,0.41134,2015
131,Sri Lanka,0.5372600000000001,0.83524,,0.40828000000000003,0.09179,132,4.271,0.70806,1.01905,2015
132,Cameroon,0.49309,0.4225,,0.20618000000000003,0.05786,133,4.252,0.23401999999999998,0.8876700000000001,2015
133,Bulgaria,0.30587,1.01216,,0.11921,0.00872,134,4.218,0.76649,1.10614,2015
134,Egypt,0.17288,0.8818,,0.11291,0.06324,135,4.194,0.61712,0.747,2015
135,Yemen,0.35570999999999997,0.5464899999999999,,0.09131,0.07854,136,4.077,0.40064,0.68093,2015
136,Angola,0.10384000000000002,0.75778,,0.12344000000000001,0.07122,137,4.033,0.16683,0.8604,2015
137,Mali,0.38856999999999997,0.26074,,0.18798,0.12352,138,3.995,0.20583,1.03526,2015
138,Congo (Brazzaville),0.41466000000000003,0.67866,,0.12387999999999999,0.11685999999999999,139,3.989,0.31051,0.6629,2015
